order_id,user_id,order_number,order_hour_of_day,days_since_prior_order,cart_size,reorder_rate,unique_departments,order_hour_anomaly,is_first_order,user_total_orders,user_avg_reorder,user_avg_cart,cart_deviation,reorder_deviation,days_deviation
1187899,1,11,8,14.0,11,0.9090909090909091,10,0,0,11,0.9090909090909091,11.0,0.0,0.0,0.0
1492625,2,15,11,30.0,31,0.3870967741935484,14,0,0,15,0.3870967741935484,31.0,0.0,0.0,0.0
2196797,5,5,11,6.0,9,0.4444444444444444,7,0,0,5,0.4444444444444444,9.0,0.0,0.0,0.0
525192,7,21,11,6.0,9,0.8888888888888888,6,0,0,21,0.8888888888888888,9.0,0.0,0.0,0.0
880375,8,4,14,10.0,18,0.2222222222222222,9,0,0,4,0.2222222222222222,18.0,0.0,0.0,0.0
1094988,9,4,10,30.0,22,1.0,11,0,0,4,1.0,22.0,0.0,0.0,0.0
1822501,10,6,19,30.0,4,0.0,4,0,0,6,0.0,4.0,0.0,0.0,0.0
1827621,13,13,21,8.0,5,0.8,5,0,0,13,0.8,5.0,0.0,0.0,0.0
2316178,14,14,19,11.0,11,0.7272727272727273,9,0,0,14,0.7272727272727273,11.0,0.0,0.0,0.0
2180313,17,41,10,30.0,6,0.5,5,0,0,41,0.5,6.0,0.0,0.0,0.0
2461523,18,7,9,7.0,11,0.45454545454545453,9,0,0,7,0.45454545454545453,11.0,0.0,0.0,0.0
1854765,21,34,12,28.0,6,0.8333333333333334,5,0,0,34,0.8333333333333334,6.0,0.0,0.0,0.0
3402036,23,5,12,30.0,12,0.5,5,0,0,5,0.5,12.0,0.0,0.0,0.0
965160,24,19,16,0.0,1,1.0,1,0,0,19,1.0,1.0,0.0,0.0,0.0
2614670,27,82,14,4.0,17,0.8235294117647058,5,0,0,82,0.8235294117647058,17.0,0.0,0.0,0.0
3110252,29,19,11,13.0,17,1.0,15,0,0,19,1.0,17.0,0.0,0.0,0.0
62370,30,9,13,22.0,1,1.0,1,0,0,9,1.0,1.0,0.0,0.0,0.0
698604,34,6,13,30.0,5,0.6,5,0,0,6,0.6,5.0,0.0,0.0,0.0
1524161,37,24,13,16.0,12,0.4166666666666667,8,0,0,24,0.4166666666666667,12.0,0.0,0.0,0.0
3173750,38,13,9,30.0,19,0.5263157894736842,17,0,0,13,0.5263157894736842,19.0,0.0,0.0,0.0
2032076,41,6,20,30.0,15,0.26666666666666666,11,0,0,6,0.26666666666666666,15.0,0.0,0.0,0.0
